epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83975,0,28.7562,0,0,0,0,0,0,5.94023,0,0.0712,0.0032,0.0032
2,8.33866,0,0.88326,0,0,0,0,0,0,0,0,0.0413713,0.0063713,0.0063713
3,11.5767,0,0.0562,0,0,0,0,0,0,0.65098,0,0.0114119,0.00941192,0.00941192
4,14.6284,0,0.00437,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
5,17.8185,0,0.00023,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
6,20.7926,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
7,24.6259,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
8,27.6405,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
9,30.7771,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
10,34.0282,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
11,37.2262,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
12,40.3915,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
13,43.6118,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
14,46.5271,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
15,49.5205,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
16,52.4635,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
17,55.6254,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
18,59.0545,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
19,62.4627,0,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
20,65.5772,0,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
21,68.6517,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
22,71.9168,0,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
23,75.0575,0,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
24,78.4778,0,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
25,81.5896,0,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
26,84.8414,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
27,87.9213,0,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
28,90.9568,0,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
29,93.9839,0,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
30,96.9947,0,0,0,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
31,100.057,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
32,103.039,0,0,0,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
33,106.813,0,0,0,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
34,110.179,0,0,0,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
35,113.333,0,0,0,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
36,116.594,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
37,119.756,0,0,0,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
38,122.869,0,0,0,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
39,126.159,0,0,0,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
40,129.265,0,0,0,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
41,145.374,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
42,148.206,0,0,0,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
43,151.095,0,0,0,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
44,154.073,0,0,0,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
45,156.992,0,0,0,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
46,160.07,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
47,162.924,0,0,0,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
48,165.783,0,0,0,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
49,168.685,0,0,0,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
50,171.645,0,0,0,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
