epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0953,1.71985,2.28302,1.69937,0.02462,0.13187,0.01153,0.00265,3.34847,90.9326,8.32071,0.0703061,0.00329932,0.00329932
2,23.6584,1.90522,2.19137,1.88605,0.06516,0.21429,0.03542,0.01019,2.86577,10.8383,4.93945,0.0402405,0.00656699,0.00656699
3,33.8684,1.97652,2.23544,1.94337,0.02503,0.06593,0.01431,0.00495,2.83379,13.1018,3.4384,0.0101088,0.00976866,0.00976866
4,43.9863,1.82837,2.06862,1.83725,0.25247,0.31319,0.18894,0.06958,2.43456,3.31293,2.61307,0.009703,0.009703,0.009703
5,55.0054,1.73827,2.01415,1.75905,0.28262,0.4011,0.27576,0.12659,2.08493,2.23519,2.32095,0.009604,0.009604,0.009604
6,65.5297,1.65995,1.9156,1.68484,0.3354,0.5,0.36599,0.17759,1.93382,2.43103,2.10146,0.009505,0.009505,0.009505
7,76.8207,1.63293,1.86159,1.66514,0.42211,0.41209,0.38667,0.19555,2.00218,2.28717,2.11126,0.009406,0.009406,0.009406
8,87.6923,1.50453,1.75162,1.56581,0.42113,0.51099,0.47498,0.25218,1.73689,2.04537,1.89757,0.009307,0.009307,0.009307
9,98.2045,1.51161,1.72618,1.57438,0.49,0.58791,0.51923,0.24919,1.75037,1.91275,1.84481,0.009208,0.009208,0.009208
10,108.726,1.46978,1.70345,1.54777,0.41081,0.52198,0.46025,0.24978,1.93625,2.0156,2.04537,0.009109,0.009109,0.009109
11,119.372,1.41422,1.63717,1.49842,0.5753,0.52845,0.52654,0.30335,1.74525,1.96266,1.83259,0.00901,0.00901,0.00901
12,129.863,1.39749,1.61108,1.49328,0.45762,0.57143,0.48241,0.2726,1.69826,2.22625,1.86092,0.008911,0.008911,0.008911
13,140.319,1.42217,1.68397,1.52957,0.60146,0.53846,0.58253,0.34951,1.6083,1.87371,1.78259,0.008812,0.008812,0.008812
14,151.207,1.35583,1.58004,1.4703,0.57137,0.60059,0.62294,0.36025,1.68173,1.81087,1.84422,0.008713,0.008713,0.008713
15,162.923,1.36396,1.54982,1.4705,0.64244,0.60989,0.65018,0.40335,1.56814,1.6318,1.6986,0.008614,0.008614,0.008614
16,174.506,1.32015,1.51851,1.43576,0.52816,0.60989,0.52988,0.29866,1.56877,1.91037,1.80645,0.008515,0.008515,0.008515
17,185.37,1.28283,1.47292,1.42804,0.66639,0.66949,0.65211,0.38743,1.71752,1.77847,1.89412,0.008416,0.008416,0.008416
18,196.54,1.31544,1.46907,1.44265,0.616,0.60989,0.62532,0.36829,1.60978,1.78636,1.7693,0.008317,0.008317,0.008317
19,207.845,1.23072,1.41857,1.39123,0.66403,0.56593,0.65412,0.40727,1.49507,1.57812,1.69927,0.008218,0.008218,0.008218
20,219.64,1.2393,1.42998,1.39339,0.65013,0.65934,0.70096,0.45714,1.57559,1.68937,1.81653,0.008119,0.008119,0.008119
21,235.094,1.21864,1.38694,1.3738,0.6199,0.70879,0.69908,0.46286,1.47166,1.59827,1.61439,0.00802,0.00802,0.00802
22,258.933,1.22458,1.36699,1.38544,0.66492,0.62637,0.69168,0.44279,1.5569,1.51445,1.6569,0.007921,0.007921,0.007921
23,281.629,1.21722,1.37121,1.38698,0.69085,0.67033,0.69909,0.45154,1.43999,1.581,1.68733,0.007822,0.007822,0.007822
24,293.744,1.21365,1.32738,1.3657,0.66408,0.65385,0.65222,0.42854,1.44547,1.49619,1.67761,0.007723,0.007723,0.007723
